1,Louisville
2,Gonzaga
3,Kansas
4,Indiana
5,Duke
6,Ohio State
7,Georgetown
8,Miami
9,Michigan St
10,New Mexico
11,Marquette
12,Florida
13,St Louis
14,Kansas State
15,Michigan
16,Syracuse
17,Oklohoma St
18,Wisconsin
19,VCU
20,UNLV
21,Memphis
22,Arizona
23,UCLA
24,Butler
25,Creighton
26,Notre Dame
27,San Diego St
28,Illinois
29,Colorado St.
30,Pittsburgh
31,N. Carolina
32,N.C. State
33,Missouri
34,Wichita St.
35,Temple
36,Villanova
37,Cincinnati
38,Iowa St.
39,Colorado
40,Oklahoma
41,Saint Mary's
42,Belmont
43,Minnesota
44,Bucknell
45,Oregon
46,Ole Miss
47,Akron
48,California
49,La Salle
50,New Mexico St.
51,S. Dakota St.
52,Montana
53,Valparaiso
54,Harvard
55,Nwestern st
56,Davidson
57,Albany
58,Iona
59,FGCU
60,Pacific
61,SouthernU
62,Western Ky.
63,North Carolina A&T
64,James Madison
